batch,gen_passage_id,seed_passage_id,novel,meaningful,pragmatic,annotator_id,gen_source,ppl,WQRM_score,ai_likelihood
1,16897_human,16897,0.0,1.0,1.0,9.0,human,4529.580510925895,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,1.0,1.0,21.0,human,4529.580510925895,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,1.0,1.0,20.0,human,4529.580510925895,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,20.0,human,191.43173950662077,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,9.0,human,191.43173950662077,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,21.0,human,191.43173950662077,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,20.0,human,250.54552338914365,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,9.0,human,250.54552338914365,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,21.0,human,250.54552338914365,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,20.0,human,11388.653381767252,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,21.0,human,11388.653381767252,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,20.0,human,226.2003071961909,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,9.0,human,226.2003071961909,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,21.0,human,226.2003071961909,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,20.0,human,3534.2601375088293,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,9.0,human,3534.2601375088293,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,21.0,human,3534.2601375088293,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,20.0,human,91418.34604427566,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,9.0,human,91418.34604427566,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,21.0,human,91418.34604427566,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,1.0,1.0,21.0,human,10382.77447967115,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,1.0,1.0,9.0,human,10382.77447967115,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,1.0,1.0,20.0,human,10382.77447967115,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,20.0,human,4333.769563458716,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,9.0,human,4333.769563458716,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,21.0,human,4333.769563458716,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,9.0,human,687929.7237262215,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,21.0,human,687929.7237262215,8.509995460510254,0.000136031044854
1,16897_human,16897,0.0,,,20.0,human,4333.769563458716,8.509995460510254,0.000136031044854
